,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp1000_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp950-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp850-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp800_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp750-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp700-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp650-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp600-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp550-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp549-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp500-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp450-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp400_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp350-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp300_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp250_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp200-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp1000_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp950_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp850_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp800_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp750-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp700_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp650_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp600_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp550-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp500_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp450_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp400_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp350_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp300_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp250-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp200_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp1000_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp950_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp850_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp800_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp750_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp700_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp650_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp600_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp550_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp500_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp450_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp400_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp350_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp300_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp250_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp200_2050.nc
SMR,10812.377591357983,11011.893810051404,11016.911055173307,11045.613770663474,11025.090058332149,10769.595784843541,10692.43143674502,10477.624282089608,10288.617371640019,10209.999445136,10214.6022856957,10096.100828625515,9922.059989859128,9769.367652740375,9658.466884066955,9537.344756108041,9037.300056583668,2933.6797766388877,10672.070537078727,10738.53158344104,10627.459134934998,10541.130009277482,10530.818161217916,10555.212205642374,10378.303219127003,10303.373442848857,10181.439264798195,10165.145137279655,9785.464451541819,9189.302748109603,8840.998296946418,8678.859739971775,8150.099065052116,6540.979244119835,11015.555580769611,10912.48948362329,10911.908930752239,10931.096641494825,10870.811193064457,10645.871575212255,10507.371489076359,10331.529152249645,10219.756637113385,10057.339329339167,9921.141938376568,9735.186171580914,9600.35589594692,9381.162527848124,8599.496288824848,3325.8277916558877
SMR CC,16606.22061592293,16613.124455355988,16596.625408621938,16605.282040411246,16622.082319941528,16685.16859216836,16713.881432537826,16722.878978133736,16772.399025918214,16795.715528161738,16790.875562690933,16852.72420428264,16856.527152015064,16896.362299689383,16843.181052458,16717.32432800392,16436.3265493068,15141.901403304777,16631.103523368038,16666.95428594309,16687.576580236266,16670.270973408584,16725.775990554233,16717.15444768813,16749.284456335306,16761.678399344637,16787.92049575631,16841.795894550713,16909.49506369212,16997.615777629926,17206.88653439382,17223.711030331768,17120.36744636084,16559.01449066326,16593.745740114493,16582.916697493893,16655.061672719603,16664.30814267273,16676.428862721044,16673.867805739494,16737.98504827617,16771.413019712665,16824.77345844133,16794.322080574548,16822.401171989553,16945.13803017435,16864.41392025722,16798.38703718633,16495.55033782427,15304.205165613883
Sabatier,0.019283254536921025,0.004756767730139109,4.074265050822039e-09,1.207353921653209e-10,0.0040966793508822276,1.37157031397443e-05,1.0063160193265525e-05,5.662325611796839e-10,6.96706130114654e-07,3.303579285093829,1.6231634056164236e-05,1.1622896363583569e-05,1.4979687792551522e-08,0.0037183138026836374,1.132333357503438e-10,0.007415895026812282,3.619103719982319e-05,9.850822381415388e-06,0.038813351594036524,4.717038599568553e-05,0.000540112260058469,0.017510785529050367,1.1908539115765104e-05,0.03145531345775729,0.00040408924403212843,0.043867482126928786,2.9619891326741895e-05,0.008109704731270422,3.841080472396091e-05,0.008160429574686162,0.00028733689354263703,0.034484713201491886,9.219140877300071e-06,0.004328096760933437,0.033649527516302756,0.00040388309941730675,0.0003023529885436971,0.005896524866227652,0.0003804479653273337,0.0177597207222187,0.0003072355700033663,2.895399329664729,0.00048754563867649703,0.048745344222441436,0.00024388329419544548,0.018431649074131907,0.00013731714719063124,0.02440131674074117,0.00027936985641657857,0.020418657820302704
Total-cost,774.2129873290426,774.0462446097599,774.1038947005823,773.888081243497,773.9800047611534,774.0137571946075,772.8696907336874,773.6832970272259,772.3790616572899,788.0741688080092,772.0703746429547,771.7223334803059,772.495602818451,771.3437683913296,770.8941552933327,769.8107762699924,767.2036246031385,762.121835295664,773.8659566948131,773.9402897156888,773.6175520065481,773.4884804676881,772.8613946815913,773.143735570755,772.8143880529522,772.6129658260198,771.954207310912,772.1432234470301,771.8456966005381,771.3441629632949,770.7130685801628,769.7712526222072,767.7616435466639,764.6244609771295,774.0011855389947,773.9183801342026,773.8436442187925,773.6980633044755,773.374370039171,773.4639638515996,773.0138385476873,772.9764273129498,772.4174821335677,772.1356842407055,771.7012215920739,771.3757617616194,770.6265423127811,769.616166344536,767.4720891003207,763.5021356296902
V2G,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845
agriculture machinery oil,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596,10497.4323596
battery charger,146551.75982546044,145064.8310169102,144942.81846615905,145124.380422527,145159.81618944576,145460.22151998605,145590.0970230926,145893.12688797183,146262.17717634127,146488.6931859399,146379.24983654296,146270.89044950047,145904.50814990397,145572.87093286158,144406.51905163395,143223.74165311217,138122.85056092837,127729.86773148514,146259.77032895468,146031.55556990916,146009.95515520507,146291.6922396003,146507.99138321533,146608.57903701204,146619.02925110812,146671.51917025758,147186.2339482501,147937.98593489203,148409.8653281465,149132.4971934793,149723.03879982312,149382.6105992027,148043.40815735824,147560.49827875895,145167.55290019768,145077.5998885387,145185.43018733978,145225.33054748864,145469.08285166218,145761.16665317476,146182.22026845804,146736.1201201215,146808.15554168678,146299.79229725126,146337.11362449653,146383.44456070897,145886.34466458875,145370.90277310638,141785.8478188254,136001.1065984976
battery discharger,149573.76353307857,148056.17317274786,147931.64463459962,148116.9505303509,148153.11700851555,148459.7169151139,148592.27054540487,148901.5491061461,149278.20947945124,149509.39641365464,149397.69626291978,149287.10242663024,148913.1650579639,148574.68924068444,147384.28633670788,146177.119209343,140971.0440387756,130363.75035642147,149275.75300112378,149042.83228802634,149020.78645708572,149308.33316474734,149529.09255377145,149631.7543980322,149642.42010313144,149695.99240252987,150221.32097300986,150988.5746315085,151470.1845205118,152207.71757965407,152810.43658274837,152462.9885054258,151096.1707367554,150603.30290578955,148161.0132558613,148069.20534778162,148179.25918564602,148219.9823201952,148468.76097388394,148766.86775548325,149196.60380206595,149761.92547089056,149835.4463151578,149316.600251469,149354.6911715833,149401.97748534413,148894.62702839187,148368.5563508139,144709.57496005233,138805.54817511406
biogas to gas,39447.27196759238,39447.26613472497,39447.26384998586,39447.26384998417,39447.26522298033,39447.263854617115,39447.2641807796,39447.263849984396,39447.26386619378,39448.06566494604,39447.264080764675,39447.264038406945,39447.26384999095,39447.26565202963,39447.26384998416,39447.26631321542,39447.26386377428,39447.263987229366,39447.2758328987,39447.26387282452,39447.264038596324,39447.2707021677,39447.26415925612,39447.27269205371,39447.26398927876,39447.27806799494,39447.2641491246,39447.2671426112,39447.263866374975,39447.26682667202,39447.26392277634,39447.27060816813,39447.26406667129,39447.26528310587,39447.27661655308,39447.2641135007,39447.264027616875,39447.266797512,39447.2640975344,39447.269807133474,39447.264031835904,39448.14581262848,39447.26412399608,39447.28528526618,39447.26395114926,39447.2710462511,39447.26391091872,39447.270888342646,39447.263948518805,39447.268628913764
co2 sequestered,64375.23106629354,63819.9209588238,64138.665779333125,63844.48805323904,63684.29946953165,64770.270278055315,65689.15132701444,63634.06709786694,66693.66203416135,65418.3113146967,65908.06593552399,68436.0366277689,63853.678021188,63716.79569203112,63844.05290063001,63962.11174385254,64133.85781181139,71617.3585769997,64231.82709232115,63630.1511792191,64277.52986770025,63965.2342683491,64114.701821100636,64698.85195227417,64270.242144254764,64513.774587123655,77233.87832675526,63993.81407616947,64447.3299290768,64251.07866580231,64162.7556071615,64261.16633199552,68278.64096427886,64210.600056751195,63869.85167283758,64303.4111792457,64487.71680401392,63973.61184812332,64793.49584931102,64126.052841501936,64432.70989489524,64053.92662384974,64606.491156590324,64839.648713274844,64338.52739938885,64783.44712803346,64523.23011048351,63964.027557180656,64255.01773313099,64293.25987154857
electricity distribution grid,2006674.1337434489,2002885.210189155,2002056.229334203,2003783.1653332443,2004317.182662987,2005408.989410169,2006361.7137827214,2009207.9744516325,2009751.9543236454,2011517.2975656814,2011958.0881965568,2014109.4167014232,2016441.9181521041,2019145.8312611738,2026957.7473290612,2034336.9811552446,2035526.0598740424,2003162.427694592,2004691.2934467385,2004253.2231388937,2004374.3491163326,2005321.4305323982,2005374.4635297982,2006223.532189914,2007506.066139229,2007747.3868553953,2008566.4840790865,2010168.8046207735,2012334.757123532,2013789.515203309,2014542.129650045,2015028.88890282,2013767.696267893,1991790.3456624805,2002312.344461567,2002910.7804480307,2003480.9511028822,2004360.2591785523,2004577.8000057258,2005781.5748482086,2008024.64807931,2009190.7178568004,2010921.9665414917,2013008.5947713903,2015199.7383720102,2018234.2538515106,2022600.8347951968,2028933.3222765268,2027740.676989959,1991771.7689466747
gas,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774,1509192.1700411774
gas for industry,0.026987631019798286,0.006860389503261288,6.279073261339363e-09,1.7195844748130185e-10,0.006155482573081628,2.2211003487981884e-05,0.001786258476332847,8.533707074320773e-10,8.446184092747444e-05,3.384109992265328,0.0014121255875760852,0.0012906527642400079,2.353364081386644e-08,0.005625250875080923,1.6753709530803462e-10,0.018910278527458857,0.0001220731058353408,0.0017881307265721347,0.040336310796957875,6.910171942564602e-05,0.0008892150280228606,0.02509092347057873,0.001764430857500443,0.04991066968609381,0.0006753710973814719,0.05639046053105723,0.0018407104874658131,0.011393568566376189,6.41246122032868e-05,0.014689739613887198,0.0004068147672597888,0.04805362804145652,0.0013156698837768488,0.01126392257759079,0.043671491083395964,0.0008193135464686918,0.0006449292229984138,0.01021392373732155,0.0007355194197042891,0.026453060937747352,0.0006463995132843792,3.737297816858856,0.0008943242753840508,0.05429277535983168,0.00047487715554694887,0.024532322360530046,0.00026662768427243577,0.03458207840248839,0.000492651548274381,0.042686497829205194
gas for industry CC,30143.33315400802,30143.330188061926,30143.328259768572,30143.328259768045,30143.327432273414,30143.328255790562,30143.328191712964,30143.328259768256,30143.32826031728,30142.886644765058,30143.3282385725,30143.328177228963,30143.328259771708,30143.329732429727,30143.328259768023,30143.32074161199,30143.328206392725,30143.32779664978,30143.334244953294,30143.328279237187,30143.328150303787,30143.33098059748,30143.328343416684,30143.316306951303,30143.328172123292,30143.331197491814,30143.32776946383,30143.330094678546,30143.328261953124,30143.326334661462,30143.328166790783,30143.311288262485,30143.3280364726,30143.324423949052,30143.333884823434,30143.328457922733,30143.32831443892,30143.32951971989,30143.32847696958,30143.326277522472,30143.328345388392,30143.148133045797,30143.32844871821,30143.35620482237,30143.328220805968,30143.33253051866,30143.328250469047,30143.324045977228,30143.328194808833,30143.310464024944
gas pipeline,228593.85295883755,228577.30696473032,228571.7289801621,228517.80486830525,228478.13850239277,228450.40995008507,228444.1378007756,228449.935776273,228461.16370920266,228905.75670486013,228412.00771819364,228490.20828861618,228551.2316245021,228487.21485242818,228358.46422695756,228282.74467435642,228281.13142803012,228354.25303874875,228580.71553285565,228540.12846457094,228501.0787957891,228476.2036648425,228465.46939165142,228448.8429567546,228434.12188623485,228436.95589002024,228450.32038910387,228425.8717587101,228451.732882029,228445.92589487068,228415.92031268816,228374.68216238962,228295.90156855178,228264.315610691,228571.18601807518,228566.4372912,228489.9136724876,228473.07104662052,228499.64389910147,228466.9141647554,228424.84170861525,228896.25238430692,228410.97661165814,228448.11230330978,228524.2906257212,228514.45330946002,228389.65052695762,228292.09200728594,228288.01602502746,228296.9334979102
gas pipeline new,2191.39551894841,2076.152932729125,2101.78212971731,2119.1920255318355,2198.1137142738257,2115.382842459978,2120.2377395546955,2122.9995545498277,2173.666210344596,1704.9569845057222,2147.921333061165,1786.3440945875168,1839.9030490534499,1897.6096886052565,1966.490517808391,2104.5095331289604,1910.0411226799163,983.6907763024834,2239.7605478278683,2261.3956694600183,2333.6315462531306,2252.3976898603123,2242.553930608702,2321.2032125167802,2292.759977709157,2209.271779069913,2129.686115355232,2091.7292566171495,1973.3962950829496,1832.2226783285905,1813.500876121104,1767.1612062441725,1688.6993490860432,1243.336503428249,2157.769517899198,2287.729732509646,2282.3617561724495,2136.990731949824,2179.6636599098633,2152.2795997259323,2101.778164220186,2115.675602694071,1984.0063598016857,1954.7019412334246,1792.2805456999781,1894.2944500942442,1874.31843030236,1999.1345120588614,2027.1263455015721,1273.1975314456963
home battery charger,0.15028555568132304,0.048662757563068926,3.730924943435942e-08,1.1141016278569944e-09,0.02924963233466947,9.856393685533718e-05,0.008376772653330408,6.1267253972195475e-09,0.0003631925058855284,14.208529673992741,0.007282376676137728,0.006222978623124146,1.448549992745986e-07,0.038117624058338295,9.617580233750775e-10,0.05049088311799441,0.0002907903325500416,0.009263856772985045,0.2311883388287627,0.00048628561641174395,0.004024386703667366,0.12810436829200833,0.011725038506019237,0.19106718086838037,0.0030029283646401056,0.2840047194737632,0.009430156185980487,0.06758975740749489,0.0003556609612850979,0.062491250001233775,0.0017376908067065087,0.17235822145808274,0.006229036228955894,0.031370747425044004,0.23581985553866358,0.004538245941080456,0.0032340091019256584,0.05401840028158324,0.004126255173915159,0.12126529808689641,0.0033173490205549534,16.394370599092817,0.004853737696263292,0.3820753238381493,0.002080935989462043,0.14190491873803,0.0011919311105076343,0.15012474303219164,0.002052103812590515,0.11639032092457008
home battery discharger,0.15338455297082204,0.04966621896096452,3.807859325017825e-08,1.137075212439377e-09,0.029852780993321622,0.00010059639680647671,0.008549507788318809,6.253062923892762e-09,0.0003706817990927363,14.501519873535528,0.0074325445713698994,0.00635130096121075,1.4784201454753843e-07,0.038903637145912835,9.815901722072203e-10,0.05153204179234412,0.00029678664036751395,0.009454884226685676,0.23595561025512204,0.0004963131789432882,0.004107372479845395,0.13074597339044997,0.011966817314266612,0.195007124883219,0.0030648509281252664,0.2898611030221623,0.009624612854337057,0.06898350728621162,0.00036299494857353895,0.06377986495490157,0.001773523252982249,0.17591237314418418,0.006357483479273539,0.03201763501712849,0.240682632202803,0.004631827867877936,0.003300696718015221,0.055132298921387796,0.004211341551922499,0.12376587659144982,0.0033857551662847623,16.732434425781285,0.004953825292150117,0.38995399446348616,0.002123846400657104,0.14483110120807546,0.0012165095955389256,0.15322042424808985,0.0020944196833617133,0.1187903738600232
hydro,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376,100405.6181905376
industry methanol,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375,1011.41552511375
kerosene for aviation,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551,83871.6213551
methanolisation,85746.49341047385,85880.59365261572,85873.3441402185,85894.91966911215,85899.61791839136,85895.2929044175,85912.45198739693,85925.50315599504,85930.4138629473,85952.15015431929,85945.00833100417,85936.41223144774,85892.36695258178,85990.3637422455,86190.00635153311,86333.07642296443,86682.28271619137,87233.82503936843,85818.27576767861,85850.3452306461,85869.10721717154,85837.73240235056,85846.14743502106,85868.71184331883,85908.1613100077,85917.73062708587,85910.9197760589,85953.77042794392,85951.93978991141,86018.14606026749,86202.92317706479,86402.38058524638,86810.87464089118,87432.06697321456,85856.76153686279,85862.79337668903,85893.60436023428,85866.71569907771,85865.3135093887,85877.58845948847,85917.18668374565,85939.9156425763,85955.73887828512,85961.81649820266,85958.26534688991,86020.84159236154,86168.93547211826,86374.77651333385,86648.60657431069,87239.52458488422
naphtha for industry,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904,35541.0958904
nuclear,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999,108814.09999999999
offwind-ac,108718.29737678183,108764.23005515152,109162.02820100971,109696.93655453478,109653.03136329525,109483.97905102014,109292.03858043863,108944.85452751223,107865.2626015361,106235.16014841433,106076.99335053952,106083.762746669,105983.21211027946,105732.92907512344,104322.25898949885,101736.66635776465,101243.59241309582,97639.47621777841,109277.62146189541,109291.39704849345,109909.21531534685,110194.74045468488,110444.94846362786,110192.83411640594,109896.6769478696,109675.05241736773,109593.21012855184,108527.13844545088,107191.69877845928,106560.67746090752,106609.14373746887,106523.0306379986,104979.09891292127,100258.02144827913,108649.27283106113,109436.07548338741,109702.75564972902,109658.2964014212,109624.0848990659,109455.16328204736,109358.57809580718,108370.35484419805,106449.60943438702,106077.24379931977,105904.59031792873,105773.12565157951,105139.5680684925,102399.35750846412,101673.65877089903,97742.22430862676
